mode,load,0_efficientnet_b6-8,1_densenet161-4,2_resnet152-8
mps-uncap,1.0,23.339509963989258,20.786643028259277,21.633386611938477
mig,1.0,22.390127182006836,18.302202224731445,26.24034881591797
