mode,load,0_efficientnet_b6-8,1_densenet161-4,2_resnet152-8
mps-uncap,1.0,23.33974838256836,20.78688144683838,21.63386344909668
mig,1.0,22.390365600585938,18.302440643310547,26.24034881591797
