mode,load,0_efficientnet_b6-8,1_densenet161-4,2_resnet152-8
mps-uncap,1.0,342.2153868729315,193.97815049322307,371.3979575180882
mig,1.0,357.12003187455264,218.3702017957656,304.48402075347764
