mode,load,0_efficientnet_b6-8,1_densenet161-4,2_resnet152-8
mps-uncap,1.0,23.89049530029297,21.329760551452637,22.089004516601562
mig,1.0,22.61185646057129,18.470048904418945,26.471900939941406
