mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,9.162664413452148,21.22187614440918,5.0506591796875
mig,1.0,9.498834609985352,21.219253540039062,5.001306533813477
