mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,8.896350860595703,20.63298225402832,4.93168830871582
mig,1.0,9.331226348876953,20.74289321899414,4.876852035522461
