mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,434.9640733925272,94.26261436771507,395.38393270828664
mig,1.0,419.8642787388881,93.9222242846252,398.3709562975456
