mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,17.293214797973633,29.349803924560547,13.942718505859375
mig,1.0,22.99332618713379,31.98719024658203,15.074968338012695
