mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,9.418320655822754,21.51782512664795,5.119085311889648
mig,1.0,9.629964828491211,21.51346206665039,5.075693130493164
