mode,load,0_resnet101-4,1_densenet201-2,2_mobilenet_v3_large-2
mps-uncap,1.0,9.72048282623291,22.108478546142578,5.309915542602539
mig,1.0,9.960613250732422,22.451157569885254,5.273747444152832
