mode,load,0_densenet161-4,1_squeezenet1_0-4,2_vgg11-2
mps-uncap,0.8,172.22194515640462,1125.7641871285032,716.0553461982611
mps-uncap,0.9,184.64747131552417,1140.703185712259,767.9057396988823
mps-uncap,1.0,203.08144425034777,1131.2112080994186,758.7809157334384
mps-uncap,0.5,102.68500101019295,716.2474420358215,440.1069839917951
mps-uncap,0.6,121.5537542477376,855.1294373906006,533.3861409911547
mps-uncap,0.7,148.92818154691713,982.1392806634356,630.8221642849546
mps-uncap,0.1,19.92749109991674,141.0763997321279,89.4555099042976
mps-uncap,0.2,44.17299000406808,298.0257796884359,176.873852804273
mps-uncap,0.3,61.20474231589031,435.3028830008463,264.71862622654265
mps-uncap,0.4,83.73036274727141,585.4641094485731,356.998318033125
