mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,59.509801864624016,30.09459972381592,11.587595939636229
mps-uncap,0.9,140.2797222137451,51.958417892456055,23.19269180297852
mps-uncap,1.0,252.7964591979981,139.7348403930664,42.47660636901856
mps-uncap,0.5,30.06420135498048,15.227913856506348,7.5602531433105495
mps-uncap,0.6,39.787292480468764,15.496253967285156,7.099771499633789
mps-uncap,0.7,41.11528396606445,21.231651306152344,9.151124954223635
mps-uncap,0.1,32.31859207153321,17.80092716217041,9.509444236755373
mps-uncap,0.2,30.26089668273926,20.572519302368168,11.836385726928711
mps-uncap,0.3,27.276921272277836,18.06497573852539,10.264968872070314
mps-uncap,0.4,25.537586212158207,16.0400390625,9.529542922973633
