mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,14.839496612548828,6.442236900329585,2.7227067947387695
mps-uncap,0.9,14.338455200195312,6.586160659790032,2.7387142181396484
mps-uncap,1.0,13.751735687255861,5.869255065917969,2.684383392333984
mps-uncap,0.5,19.460692405700662,9.410998821258543,4.480905532836913
mps-uncap,0.6,15.63366413116455,8.29764127731323,4.019021987915039
mps-uncap,0.7,15.331625938415527,7.368040084838873,3.115234375000005
mps-uncap,0.1,32.47657299041748,13.573944568634033,6.78950309753418
mps-uncap,0.2,28.61386775970455,13.81673812866211,6.730127334594725
mps-uncap,0.3,22.014358043670654,13.291273117065424,6.602792739868164
mps-uncap,0.4,21.169977188110348,11.267571449279774,5.574338436126707
