mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,12.160062789916992,4.8427581787109375,2.3462772369384766
mps-uncap,0.9,12.344837188720703,4.944324493408203,2.3784637451171875
mps-uncap,1.0,12.220144271850586,4.819631576538086,2.321958541870117
mps-uncap,0.5,12.115001678466797,4.8694610595703125,2.3581981658935547
mps-uncap,0.6,12.213706970214844,4.891872406005859,2.3453235626220703
mps-uncap,0.7,11.97052001953125,4.81104850769043,2.340555191040039
mps-uncap,0.1,12.266874313354492,4.882574081420898,2.336740493774414
mps-uncap,0.2,12.089252471923828,4.945993423461914,2.3267269134521484
mps-uncap,0.3,12.172937393188477,4.859685897827148,2.331256866455078
mps-uncap,0.4,12.031078338623047,4.87208366394043,2.3355484008789062
