mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,117.79080619445723,1098.5390654105684,621.9911052721216
mps-uncap,0.9,140.4857716192247,1249.202336245371,705.5231574525769
mps-uncap,1.0,155.2823103837025,1389.5262194831569,750.6531345709774
mps-uncap,0.5,74.09188133381716,683.6605455869707,390.56880865141505
mps-uncap,0.6,94.91714745988402,812.7656261295068,455.9737150630552
mps-uncap,0.7,102.5320484994083,964.7557687939826,552.5595777395902
mps-uncap,0.1,14.440521376373166,139.07532492312305,79.40004124386053
mps-uncap,0.2,30.622715654926427,270.5809251988889,156.34550656559207
mps-uncap,0.3,47.227773514716354,413.3649463842096,235.50071546940822
mps-uncap,0.4,61.546922654767144,545.4608070467867,312.20656691642995
