mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,47.01590538024902,24.635219573974613,9.167957305908203
mps-uncap,0.9,127.74245738983153,46.4752197265625,20.70741653442383
mps-uncap,1.0,240.45166969299322,134.1931343078613,40.077543258667006
mps-uncap,0.5,17.73600578308106,9.250664710998533,4.747295379638675
mps-uncap,0.6,27.364969253540057,9.983134269714354,4.628801345825195
mps-uncap,0.7,28.76877784729004,15.856504440307617,6.737565994262695
mps-uncap,0.1,12.460708618164091,6.7740678787231445,3.9067745208740234
mps-uncap,0.2,13.547086715698253,10.160398483276367,6.146144866943366
mps-uncap,0.3,13.819003105163578,9.576225280761719,6.033420562744141
mps-uncap,0.4,13.162946701049805,9.258508682250977,5.9850692749023455
