mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,0.011920928955078125,0.010251998901367188,0.008106231689453125
mps-uncap,0.9,0.011920928955078125,0.010251998901367188,0.008344650268554688
mps-uncap,1.0,0.012636184692382812,0.010251998901367188,0.008106231689453125
mps-uncap,0.5,0.011444091796875,0.009059906005859375,0.00858306884765625
mps-uncap,0.6,0.010251998901367188,0.007867813110351562,0.008106231689453125
mps-uncap,0.7,0.011205673217773438,0.0095367431640625,0.008106231689453125
mps-uncap,0.1,0.014781951904296875,0.01239776611328125,0.010251998901367188
mps-uncap,0.2,0.013589859008789062,0.011205673217773438,0.0095367431640625
mps-uncap,0.3,0.011682510375976562,0.01049041748046875,0.008106231689453125
mps-uncap,0.4,0.012159347534179688,0.0095367431640625,0.009059906005859375
