mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,23.85687828063965,11.448144912719727,4.863858222961426
mps-uncap,0.9,45.77970504760742,18.108606338500977,8.141517639160156
mps-uncap,1.0,116.61362648010254,44.809818267822266,13.063669204711914
mps-uncap,0.5,15.006780624389648,7.616400718688965,3.6275386810302734
mps-uncap,0.6,18.506526947021484,7.480621337890625,3.437042236328125
mps-uncap,0.7,18.767118453979492,8.967161178588867,4.068613052368164
mps-uncap,0.1,21.439075469970703,12.096166610717773,6.038904190063477
mps-uncap,0.2,20.387649536132812,12.048959732055664,6.273508071899414
mps-uncap,0.3,15.230774879455566,9.384632110595703,5.168557167053223
mps-uncap,0.4,14.862775802612305,8.521318435668945,4.247069358825684
