mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,12.407064437866211,5.591630935668945,2.425670623779297
mps-uncap,0.9,12.558460235595703,5.468845367431641,2.4597644805908203
mps-uncap,1.0,12.491703033447266,5.459308624267578,2.390146255493164
mps-uncap,0.5,12.473344802856445,5.349636077880859,2.4614334106445312
mps-uncap,0.6,12.460708618164062,5.469083786010742,2.4344921112060547
mps-uncap,0.7,12.319326400756836,5.515813827514648,2.4192333221435547
mps-uncap,0.1,21.076202392578125,11.868119239807129,5.78618049621582
mps-uncap,0.2,16.829967498779297,9.590864181518555,5.624294281005859
mps-uncap,0.3,13.531804084777832,8.013725280761719,3.900289535522461
mps-uncap,0.4,12.620210647583008,6.326198577880859,3.673553466796875
