mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,12.950420379638672,5.970215797424316,2.568483352661133
mps-uncap,0.9,12.85555362701416,5.735301971435547,2.608776092529297
mps-uncap,1.0,12.743663787841797,5.68079948425293,2.559185028076172
mps-uncap,0.5,14.69874382019043,8.1068754196167,3.871393203735352
mps-uncap,0.6,14.065027236938477,6.33704662322998,2.6294708251953125
mps-uncap,0.7,13.638973236083984,6.001710891723633,2.5772571563720708
mps-uncap,0.1,28.76129150390625,12.630343437194824,6.326818466186523
mps-uncap,0.2,21.546316146850586,13.145065307617188,6.438970565795898
mps-uncap,0.3,20.40026187896729,11.129093170166016,5.619621276855469
mps-uncap,0.4,15.512609481811523,8.906269073486328,4.144954681396484
