mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,173.6278533935547,77.74043083190918,33.505916595458984
mps-uncap,0.9,256.5736770629883,103.0128002166748,54.57115173339844
mps-uncap,1.0,495.8317279815674,267.8670883178711,82.46445655822754
mps-uncap,0.5,82.44013786315918,38.60187530517578,25.83479881286621
mps-uncap,0.6,92.8192138671875,37.69230842590332,21.381139755249023
mps-uncap,0.7,122.78389930725098,65.83523750305176,24.89304542541504
mps-uncap,0.1,59.18717384338379,37.41002082824707,18.5091495513916
mps-uncap,0.2,65.94610214233398,39.98613357543945,27.09174156188965
mps-uncap,0.3,72.51691818237305,38.50269317626953,26.36575698852539
mps-uncap,0.4,48.1114387512207,50.513267517089844,26.587963104248047
