mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,161.15617752075195,71.86460494995117,31.121253967285156
mps-uncap,0.9,244.03786659240723,97.92280197143555,52.085161209106445
mps-uncap,1.0,483.40702056884766,262.4819278717041,80.0321102142334
mps-uncap,0.5,70.14775276184082,33.65659713745117,23.455142974853516
mps-uncap,0.6,80.29365539550781,31.773805618286133,18.73612403869629
mps-uncap,0.7,110.36229133605957,60.70685386657715,22.500038146972656
mps-uncap,0.1,45.38869857788086,29.758214950561523,12.410640716552734
mps-uncap,0.2,53.92026901245117,32.15765953063965,23.180246353149414
mps-uncap,0.3,60.04214286804199,33.384084701538086,22.486448287963867
mps-uncap,0.4,35.92252731323242,45.23205757141113,23.51665496826172
