mode,load,0_densenet201-2,1_inception_v3-8,2_mobilenet_v3_small-2
mps-uncap,0.8,109.72261905670172,57.08063602447508,21.675059795379646
mps-uncap,0.9,207.47101545333854,83.28815460205068,38.77285957336424
mps-uncap,1.0,386.00668907165533,228.51894378662104,64.66220855712889
mps-uncap,0.5,50.125780105590806,26.22688055038452,15.172185897827132
mps-uncap,0.6,67.32426643371596,25.292332172393767,12.058415412902823
mps-uncap,0.7,75.12261867523193,42.47121810913086,16.197829246520996
mps-uncap,0.1,51.5330982208252,27.168095111846924,14.236845970153809
mps-uncap,0.2,49.45126056671138,31.867761611938466,19.256911277770996
mps-uncap,0.3,55.01141548156752,28.0075740814209,17.945618629455556
mps-uncap,0.4,39.09251689910889,27.88722038269042,15.597941875457757
