mode,load,0_alexnet-8,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.8,1.1069774627685547,16.780376434326172,14.969825744628906
mps-uncap,0.9,1.1322498321533203,16.670942306518555,14.936685562133789
mps-uncap,1.0,1.375436782836914,19.220590591430664,15.418291091918945
mps-uncap,0.5,1.0411739349365234,16.715526580810547,15.136241912841797
mps-uncap,0.6,1.0366439819335938,16.942262649536133,14.812469482421875
mps-uncap,0.7,1.0380744934082031,16.973495483398438,15.051603317260742
mps-uncap,0.1,1.1398792266845703,17.033100128173828,15.318155288696289
mps-uncap,0.2,1.1403560638427734,16.80302619934082,15.058040618896484
mps-uncap,0.3,1.0831356048583984,16.771316528320312,15.193700790405273
mps-uncap,0.4,1.0483264923095703,16.6780948638916,15.101194381713867
