mode,load,0_alexnet-8,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.8,14.776945114135742,37.911415100097656,37.15324401855469
mps-uncap,0.9,7.272243499755859,34.7142219543457,25.16794204711914
mps-uncap,1.0,13.235807418823242,36.64517402648926,35.768747329711914
mps-uncap,0.5,6.422996520996094,33.59866142272949,28.224468231201172
mps-uncap,0.6,6.93202018737793,34.0421199798584,27.956724166870117
mps-uncap,0.7,10.951042175292969,34.75832939147949,26.910066604614258
mps-uncap,0.1,5.809545516967773,34.18779373168945,36.56482696533203
mps-uncap,0.2,7.672309875488281,34.192562103271484,29.465675354003906
mps-uncap,0.3,13.039350509643555,31.90159797668457,29.719114303588867
mps-uncap,0.4,7.9746246337890625,31.712055206298828,28.18131446838379
