mode,load,0_resnet101-32,1_densenet169-8,2_densenet201-2
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
mig,1.0,0.000476837158203125,0.000476837158203125,0.00095367431640625
