mode,load,0_densenet121-2,1_mobilenet_v3_small-8,2_vgg11-2
mps-uncap,0.8,6.789207458496094,2.2919178009033203,1.3246536254882812
mps-uncap,0.9,6.777048110961914,2.294778823852539,1.323699951171875
mps-uncap,1.0,6.795406341552734,2.3186206817626953,1.3315677642822266
mps-uncap,0.5,6.909608840942383,2.3131370544433594,1.3289451599121094
mps-uncap,0.6,6.760120391845703,2.244234085083008,1.3241767883300781
mps-uncap,0.7,6.796836853027344,2.2592544555664062,1.3227462768554688
mps-uncap,0.1,7.00688362121582,2.3572444915771484,1.3339519500732422
mps-uncap,0.2,6.961584091186523,2.3124217987060547,1.3315677642822266
mps-uncap,0.3,6.825923919677734,2.296924591064453,1.3275146484375
mps-uncap,0.4,6.840944290161133,2.2780895233154297,1.3408660888671875
