mode,load,0_densenet121-2,1_densenet201-4,2_vgg13-4
mps-uncap,0.8,136.15143900599293,134.48542095817956,958.3770674303655
mps-uncap,0.9,156.44197626659675,148.66431707706712,1081.286449512032
mps-uncap,1.0,172.08254141823693,166.2848987321587,1208.0940554227911
mps-uncap,0.5,85.69404743486527,84.37590837034303,602.570293559928
mps-uncap,0.6,105.17913526965627,98.1262166909156,733.6330920432797
mps-uncap,0.7,121.36486725467851,117.54599892622663,852.1031289214502
mps-uncap,0.1,16.566290354701184,18.29707380392555,121.91011205937436
mps-uncap,0.2,35.43128534356521,34.67881222987393,242.7977982250135
mps-uncap,0.3,51.34562705389115,51.580130144871866,366.9327367027727
mps-uncap,0.4,68.37856581126256,67.7084989217563,469.96770935623715
