mode,load,0_densenet201-4,1_inception_v3-4,2_squeezenet1_0-2
mps-uncap,0.6,125.96789121627822,42.189581394195514,8.685359954833986
mig,0.6,85.07001399993896,43.235740661621,7.462739944458008
mps-uncap,0.7,117.3566722869873,60.26005268096926,15.617179870605472
mig,0.7,167.0279026031493,54.36676979064943,12.359333038330075
mps-uncap,0.8,288.4728860855102,117.54540443420389,31.340999603271495
mig,0.8,192.78656005859364,99.28292036056519,25.19290685653683
mps-uncap,0.9,504.28649187088047,143.4697437286377,164.50528144836423
mig,0.9,540.6542444229119,204.8332738876344,50.47521114349358
mps-uncap,1.0,998.782911300659,1536.639392375946,6899.037790298462
mig,1.0,1921.331763267517,595.4573154449457,492.91394233703613
mps-uncap,1.1,6843.901362419131,9870.34369468689,14686.646757125853
mig,1.1,7121.7257261276245,9981.978726387024,9219.27487373352
mps-uncap,1.2,14842.501826286316,13882.989597320557,19523.84016752243
mig,1.2,16527.930052280426,13732.50569820404,13610.498933792114
mps-uncap,1.3,20499.844195842743,21429.84027862549,22272.5838637352
mig,1.3,20140.50581932068,21180.65185070038,19125.489840507507
