mode,load,0_densenet201-4,1_inception_v3-4,2_squeezenet1_0-2
mps-uncap,0.6,147.20774412155166,51.28590345382686,10.567588806152346
mig,0.6,105.78858852386475,51.905190944671496,9.318842887878407
mps-uncap,0.7,138.43402862548825,69.25140857696535,17.517099380493168
mig,0.7,188.15765380859372,63.29113006591797,14.21071052551269
mps-uncap,0.8,309.96206283569325,126.62026882171628,33.40689659118656
mig,0.8,213.60527038574207,108.19917917251587,27.08309173583983
mps-uncap,0.9,525.8377671241764,152.29350090026853,166.4389705657959
mig,0.9,561.8646717071526,213.70565891265878,52.29868650436397
mps-uncap,1.0,1020.0812482833859,1545.5470085144043,6901.052784919739
mig,1.0,1942.3322677612305,604.1363215446466,494.7524118423462
mps-uncap,1.1,6865.059263706209,9879.466981887816,14688.899087905882
mig,1.1,7142.412519454956,9990.939617156982,9221.160659790039
mps-uncap,1.2,14863.779768943787,13892.007493972778,19525.64239263535
mig,1.2,16549.266273975372,13741.268153190613,13612.33263015747
mps-uncap,1.3,20520.943434238434,21438.7672662735,22274.574224948883
mig,1.3,20161.50682449341,21189.45168018341,19127.23677635193
