mode,load,0_densenet201-4,1_inception_v3-4,2_squeezenet1_0-2
mps-uncap,0.6,159.87730026245117,74.57637786865234,15.529394149780273
mig,0.6,106.51826858520508,72.88980484008789,17.667531967163086
mps-uncap,0.7,186.57755851745605,107.4984073638916,28.62691879272461
mig,0.7,273.3438014984131,79.79583740234375,22.146224975585938
mps-uncap,0.8,424.6048927307129,146.2881565093994,59.14497375488281
mig,0.8,234.70497131347656,150.67195892333984,35.680294036865234
mps-uncap,0.9,593.3008193969727,215.68584442138672,199.3110179901123
mig,0.9,661.5166664123535,243.9277172088623,62.19768524169922
mps-uncap,1.0,1045.7122325897217,1613.283634185791,6990.6415939331055
mig,1.0,2016.6471004486084,686.0015392303467,525.6059169769287
mps-uncap,1.1,6967.8614139556885,9960.225820541382,14833.317041397095
mig,1.1,7233.678817749023,10072.789669036865,9330.679178237915
mps-uncap,1.2,15030.473470687866,13983.965635299683,19762.33720779419
mig,1.2,16717.440843582153,13927.594661712646,13799.687385559082
mps-uncap,1.3,20706.141471862793,21655.03430366516,22559.97347831726
mig,1.3,20297.29175567627,21384.926080703735,19320.165395736694
