mode,load,0_densenet201-4,1_inception_v3-4,2_squeezenet1_0-2
mps-uncap,0.6,111.8909359344004,266.2046458560324,658.0915690680208
mig,0.6,112.1285461384265,273.9932562812898,652.2733130711073
mps-uncap,0.7,129.42664668232217,316.88357904407695,760.9012366135287
mig,0.7,129.79027275527235,317.2422333541386,766.2678756738359
mps-uncap,0.8,155.4060528500823,359.42952964700913,878.1122385172401
mig,0.8,152.87270035058864,361.70329881340604,860.8012930393039
mps-uncap,0.9,171.86467490846417,403.35557740048984,995.309774549913
mig,0.9,168.14543494872026,408.9992488933553,989.5913765289218
mps-uncap,1.0,184.2095923470698,446.61116372220926,993.7745294652267
mig,1.0,187.0476877921806,447.5536727047839,1076.375932219881
mps-uncap,1.1,190.27685953666258,440.9825692325535,991.7158743664679
mig,1.1,192.3310418598903,446.4618514356997,1057.4534643456425
mps-uncap,1.2,188.73670674201387,450.6252283256761,1002.2247926719506
mig,1.2,190.58038643097348,448.2065696061846,1077.8510980829972
mps-uncap,1.3,189.61922113972597,448.17884886621385,1061.9015015640932
mig,1.3,192.4839777980568,456.47678972922716,1085.695025112408
