mode,load,0_densenet201-4,1_inception_v3-4,2_squeezenet1_0-2
mps-uncap,0.6,24.633407592773438,11.57689094543457,12.535333633422852
mig,0.6,24.022340774536133,21.06761932373047,13.167142868041992
mps-uncap,0.7,24.871826171875,11.057853698730469,13.637542724609375
mig,0.7,25.155305862426758,11.030912399291992,12.806415557861328
mps-uncap,0.8,27.84442901611328,21.442890167236328,14.968633651733398
mig,0.8,31.445026397705078,20.88022232055664,15.114784240722656
mps-uncap,0.9,33.92171859741211,22.2017765045166,15.2740478515625
mig,0.9,26.919126510620117,21.122217178344727,15.01321792602539
mps-uncap,1.0,30.911922454833984,19.730329513549805,15.319585800170898
mig,1.0,28.959274291992188,20.739078521728516,8.602619171142578
mps-uncap,1.1,27.494192123413086,21.848678588867188,15.284061431884766
mig,1.1,23.626089096069336,23.070573806762695,14.667749404907227
mps-uncap,1.2,32.448768615722656,20.22719383239746,15.011072158813477
mig,1.2,30.543804168701172,21.884441375732422,10.985851287841797
mps-uncap,1.3,30.55858612060547,22.277355194091797,18.983840942382812
mig,1.3,28.09619903564453,19.03557777404785,16.666889190673828
