mode,load,0_resnet18-32,1_resnet34-2,2_vgg13-4
mps-uncap,0.8,11.808528900146484,9.613704681396484,7.0082473754882795
mps-uncap,0.9,10.28881788253784,9.91887092590332,6.997697353363035
mps-uncap,1.0,10.29409408569336,9.973526000976562,7.03756332397461
mps-uncap,0.5,11.694467067718506,9.059023857116697,6.794471740722656
mps-uncap,0.6,11.426219940185547,10.44552803039551,6.857523918151854
mps-uncap,0.7,11.385779380798342,10.856068134307861,6.932239532470703
mps-uncap,0.1,12.025794982910156,9.149315357208256,6.7768096923828125
mps-uncap,0.2,10.357186794281004,9.502685070037842,6.583986282348633
mps-uncap,0.3,10.913252830505371,9.720058441162104,6.767663955688475
mps-uncap,0.4,11.914710998535156,9.311916828155518,6.943738460540778
