mode,load,0_resnet18-32,1_resnet34-2,2_vgg13-4
mps-uncap,0.8,48.07910919189454,14.887571334838867,21.784448623657227
mps-uncap,0.9,1159.7204685211182,56.02648258209226,123.2396125793457
mps-uncap,1.0,7722.866201400757,469.33817863464355,4928.507804870606
mps-uncap,0.5,7.69193172454834,5.496740341186523,4.408693313598639
mps-uncap,0.6,11.141252517700195,7.030344009399421,6.239390373229984
mps-uncap,0.7,20.684814453125007,10.43503284454346,11.356687545776373
mps-uncap,0.1,0.08101463317871374,0.04878044128417972,0.04780292510986328
mps-uncap,0.2,3.312754631042479,3.0802249908447266,0.9051322937011732
mps-uncap,0.3,4.989147186279297,4.914188385009768,1.9495010375976565
mps-uncap,0.4,6.616950035095216,6.326913833618163,3.209829330444336
