mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,7.7251529693603525,7.521677017211913,7.606339454650881,7.625975608825684
mig,0.2,7.89114236831665,7.946801185607909,8.083760738372801,8.10969352722168
mig,0.3,7.874488830566406,7.8041696548461905,7.824444770812988,8.156068325042725
mig,0.4,7.651486396789552,7.605447769165038,7.592992782592775,7.954375743865967
mig,0.5,6.5490245819091815,6.434535980224613,6.5064191818237305,7.616462707519532
mig,0.6,4.980444908142088,5.433897972106934,5.399227142333984,7.608146667480469
mig,0.7,4.502403736114499,4.443094730377198,4.632961750030517,7.6058220863342285
mig,0.8,4.130716323852539,4.210948944091797,4.216635227203369,7.610082626342773
mig,0.9,4.150636196136474,4.235954284667968,4.242963790893555,7.613182067871094
mig,1.0,4.134092330932617,4.210472106933594,4.216194152832031,7.614850997924805
