mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,4.0149688720703125,6.912708282470703,6.864428520202637,7.548093795776367
mig,0.2,6.750941276550293,7.034659385681152,7.140040397644043,7.547855377197266
mig,0.3,6.694316864013672,6.78098201751709,6.843090057373047,7.57908821105957
mig,0.4,6.038188934326172,6.090879440307617,6.153702735900879,7.566094398498535
mig,0.5,5.454421043395996,5.5217742919921875,5.5092573165893555,7.695198059082031
mig,0.6,5.463123321533203,5.606532096862793,5.551695823669434,9.540319442749023
mig,0.7,6.576180458068848,6.711483001708984,6.738185882568359,12.708544731140137
mig,0.8,8.688926696777344,8.270025253295898,8.205175399780273,16.53575897216797
mig,0.9,13.528585433959961,14.378547668457031,12.940406799316406,27.3892879486084
mig,1.0,76.05957984924316,144.50669288635254,58.019399642944336,157.8969955444336
