mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,7.075810432434082,7.248163223266602,7.238030433654785,7.5466156005859375
mig,0.2,7.229328155517578,7.316064834594727,7.454323768615723,7.5992584228515625
mig,0.3,7.103872299194336,7.27384090423584,7.258415222167969,7.717323303222657
mig,0.4,6.530332565307617,6.53228759765625,6.517767906188965,7.570314407348633
mig,0.5,4.82487678527832,4.819154739379883,4.876852035522461,7.4920654296875
mig,0.6,4.078149795532227,4.304099082946777,4.3239593505859375,7.503652572631836
mig,0.7,4.009723663330078,4.079556465148926,4.095959663391113,7.510662078857422
mig,0.8,4.007101058959961,4.0706634521484375,4.078149795532227,7.5290679931640625
mig,0.9,4.014253616333008,4.098176956176758,4.1011810302734375,7.542848587036133
mig,1.0,4.022836685180664,4.0912628173828125,4.108905792236328,7.54547119140625
