mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,7.394099235534668,8.400058746337889,8.368968963623047,7.782840728759766
mig,0.2,11.020421981811523,12.281346321105957,12.655878067016603,11.460113525390634
mig,0.3,12.670469284057615,12.85862922668457,12.982130050659181,13.780665397644043
mig,0.4,11.936759948730463,12.072515487670898,12.024736404418945,15.221929550170898
mig,0.5,11.371135711669922,11.426925659179688,11.265397071838379,18.748188018798828
mig,0.6,12.193679809570312,12.088704109191895,12.472748756408691,21.8686580657959
mig,0.7,15.486717224121094,15.662813186645506,16.399240493774418,31.16014003753662
mig,0.8,22.663259506225582,20.98636627197266,20.722007751464854,45.84145545959472
mig,0.9,38.8617515563965,42.06528663635255,34.92436408996582,73.26531410217287
mig,1.0,151.6336917877197,308.17556381225586,142.111349105835,390.9862518310547
