mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,0.03695487976074219,0.0476837158203125,0.04553794860839844,0.05221366882324219
mig,0.2,0.04267692565917969,0.048160552978515625,0.047206878662109375,0.049591064453125
mig,0.3,0.045299530029296875,0.04744529724121094,0.04839897155761719,0.049591064453125
mig,0.4,0.04673004150390625,0.04935264587402344,0.04649162292480469,0.04673004150390625
mig,0.5,0.6669759750366211,0.7281303405761719,0.5270242691040039,0.18167495727539062
mig,0.6,1.4233589172363281,1.4562606811523438,1.3747215270996094,2.111673355102539
mig,0.7,2.6450157165527344,2.7042627334594727,2.7097463607788086,5.27346134185791
mig,0.8,4.752874374389648,4.264593124389648,4.1751861572265625,9.104490280151367
mig,0.9,9.595036506652832,10.35928726196289,8.920431137084961,19.954919815063477
mig,1.0,72.10564613342285,140.51198959350586,54.010868072509766,150.46238899230957
