mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,205.24174264512445,196.6897954086027,182.96726531740615,104.85046818985236
mig,0.2,404.62087897942655,385.15950186500714,387.04106087884713,202.7675044232358
mig,0.3,594.9855804506917,585.5668480158212,591.669074293434,318.07624717276474
mig,0.4,787.7185287901266,771.5038802785201,786.312884335489,429.0511005889586
mig,0.5,983.055050323181,982.3318710808401,958.219639581487,522.0754536409837
mig,0.6,1202.840986265085,1161.1225437363921,1140.0902286996968,608.7210261908065
mig,0.7,1363.2194993682674,1378.7655014169004,1351.0386089079045,740.5736403563719
mig,0.8,1593.6347282779593,1563.243127639679,1530.7869749725114,840.5650159725245
mig,0.9,1771.1165399853608,1770.578908838067,1733.1919213443102,941.3148162711371
mig,1.0,1978.1886182117178,1970.8445390752772,1914.912984839772,1063.3146824176504
