mode,load,0_densenet169-32,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,35.95294713973999,28.23663711547852,11.402153968811032
mps-uncap,0.9,34.05225992202759,29.714131355285645,11.770958900451658
mps-uncap,1.0,36.65357828140259,28.756136894226074,12.31803894042969
mps-uncap,0.5,34.02883052825928,28.267323970794667,10.36565780639648
mps-uncap,0.6,34.45690155029297,28.720879554748535,10.430746078491211
mps-uncap,0.7,35.39514541625977,27.800283432006836,11.18345260620117
mps-uncap,0.1,30.11478900909424,28.731350898742676,9.67494487762451
mps-uncap,0.2,30.312232971191392,29.66349601745606,9.523944854736326
mps-uncap,0.3,31.6702938079834,27.725892066955563,10.517392158508315
mps-uncap,0.4,32.95461177825928,28.02738904953003,10.496020317077637
