mode,load,0_densenet169-32,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,711.2836389586024,234.56094099311915,919.0980132329995
mps-uncap,0.9,836.3397827797769,281.8715794199694,1030.025272153158
mps-uncap,1.0,895.1478316539637,304.5431368040458,1146.413013799136
mps-uncap,0.5,444.71493509298637,153.28263513974704,560.6327516573552
mps-uncap,0.6,529.4442399284304,179.96694516292098,698.6479258285253
mps-uncap,0.7,657.0782589410775,222.5350908951349,796.3378755754615
mps-uncap,0.1,105.99481969716116,31.46527119992673,109.37483405202951
mps-uncap,0.2,175.38413254400524,62.13648740580521,224.94292096121876
mps-uncap,0.3,281.0859258552589,90.51510820673596,340.8366953442385
mps-uncap,0.4,369.0705265046206,129.2502813593446,465.5015694648992
