mode,load,0_densenet169-32,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,41.03362560272217,27.039527893066406,7.812976837158203
mps-uncap,0.9,78.35626602172852,72.25584983825684,13.462305068969727
mps-uncap,1.0,307.01351165771484,206.8946361541748,80.49631118774414
mps-uncap,0.5,28.75065803527832,19.094228744506836,6.833553314208984
mps-uncap,0.6,31.12196922302246,22.505640983581543,6.800174713134766
mps-uncap,0.7,35.93850135803223,24.268388748168945,6.889104843139648
mps-uncap,0.1,23.53227138519287,24.095535278320312,7.3119401931762695
mps-uncap,0.2,22.908449172973633,20.566463470458984,7.300376892089844
mps-uncap,0.3,23.068904876708984,18.740177154541016,7.515430450439453
mps-uncap,0.4,26.79586410522461,18.518805503845215,7.073402404785156
