mode,load,0_densenet169-32,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,92.80490875244143,73.68044853210449,22.541666030883814
mps-uncap,0.9,283.37469100952137,344.59996223449707,40.7872200012207
mps-uncap,1.0,836.817741394043,582.3116302490236,322.36766815185547
mps-uncap,0.5,53.17173004150391,36.3236665725708,13.3378267288208
mps-uncap,0.6,63.62562179565428,46.98514938354492,13.900232315063477
mps-uncap,0.7,87.26739883422852,53.72714996337893,16.18623733520508
mps-uncap,0.1,27.20773220062256,27.738046646118164,8.523225784301758
mps-uncap,0.2,29.6872615814209,29.2813777923584,10.545539855957031
mps-uncap,0.3,39.07122611999512,28.93161773681641,12.63296604156494
mps-uncap,0.4,44.68121528625488,32.47435092926028,13.213396072387695
