mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,63.281440734863274,85.26277542114258,18.26272010803223
mig,0.6,173.12135696411136,56.30359649658204,5.735826492309571
mps-uncap,0.7,70.23367881774902,122.43819236755371,105.68861961364728
mig,0.7,247.0238208770752,76.49750709533693,6.96556568145752
mps-uncap,0.8,75.69146156311035,385.17823219299316,3621.755313873291
mig,0.8,306.4913034439087,102.06398963928223,10.836482048034668
mps-uncap,0.9,87.23359107971191,2991.2651777267456,15916.820096969604
mig,0.9,651.0573863983155,244.79293823242188,23.912048339843764
mps-uncap,1.0,99.75714683532716,17838.358902931217,22881.97102546692
mig,1.0,3511.549043655396,571.9839811325073,212.52565383911136
mps-uncap,1.1,126.995325088501,24808.83376598358,29069.225239753723
mig,1.1,7516.125440597534,7051.386833190918,6249.367475509647
mps-uncap,1.2,124.874210357666,25322.80082702637,38430.59298992158
mig,1.2,16019.353556633,13207.55159854889,13473.108053207397
mps-uncap,1.3,197.17442989349365,29668.412017822266,46005.60522079468
mig,1.3,19637.28313446045,19865.870714187622,17577.47082710266
