mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,0.025510787963867188,14.441132545471191,2.239108085632324
mig,0.6,27.555465698242188,7.541537284851074,0.7991790771484375
mps-uncap,0.7,0.025153160095214844,26.62515640258789,20.37811279296875
mig,0.7,41.32866859436035,12.827396392822266,1.348257064819336
mps-uncap,0.8,0.027179718017578125,73.16148281097412,2472.746968269348
mig,0.8,72.88885116577148,21.26181125640869,2.387404441833496
mps-uncap,0.9,6.338000297546387,1026.8123149871826,9648.83279800415
mig,0.9,233.6193323135376,70.04296779632568,5.004644393920898
mps-uncap,1.0,12.779712677001953,10289.743065834045,12404.876947402954
mig,1.0,922.0532178878784,260.7971429824829,111.9537353515625
mps-uncap,1.1,17.871856689453125,13889.045000076294,16045.365691184998
mig,1.1,2958.0395221710205,3381.045341491699,3342.9620265960693
mps-uncap,1.2,21.35467529296875,14308.488607406616,20954.031229019165
mig,1.2,8629.744291305542,7152.3677110672,7411.521911621094
mps-uncap,1.3,40.023207664489746,16946.21706008911,26087.85653114319
mig,1.3,9424.418926239014,11115.376949310303,9633.939504623413
