mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,35.39786338806152,26.613950729370117,2.987122535705567
mig,0.6,58.77857208251953,18.1520938873291,1.9907951354980469
mps-uncap,0.7,35.263872146606445,24.05405044555664,3.3978462219238277
mig,0.7,58.61067771911621,17.7609920501709,1.9459724426269531
mps-uncap,0.8,35.1107120513916,24.019598960876465,3.4577608108520512
mig,0.8,58.58902931213379,17.986273765563965,1.9295215606689453
mps-uncap,0.9,35.10921001434326,24.158000946044922,3.6933898925781277
mig,0.9,58.557868003845215,17.756342887878418,1.8717527389526378
mps-uncap,1.0,35.242652893066406,27.38630771636963,3.4465789794921875
mig,1.0,58.51294994354248,17.55526065826416,1.8448829650878906
mps-uncap,1.1,35.0815773010254,27.466893196105957,3.5898685455322266
mig,1.1,58.48543643951416,17.566442489624023,1.8434524536132812
mps-uncap,1.2,34.929609298706055,24.489450454711914,4.34694290161133
mig,1.2,58.43679904937744,17.45164394378662,1.8737316131591797
mps-uncap,1.3,34.422993659973145,24.514007568359375,4.519343376159668
mig,1.3,58.52255821228027,17.830967903137207,1.8439292907714844
