mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,71.89927101135248,159.8712444305422,37.50368595123291
mig,0.6,201.5801954269409,79.69558954238876,7.914228439331053
mps-uncap,0.7,85.35777091979979,285.8726024627684,273.32347869873047
mig,0.7,348.2532501220703,143.6588120460509,11.463978290557877
mps-uncap,0.8,89.30209875106809,561.2580537796022,3981.9140815734863
mig,0.8,427.77778625488224,167.86464214324948,15.67143201828003
mps-uncap,0.9,129.2668461799623,3230.9661507606506,17946.12913608551
mig,0.9,813.1278634071351,440.785288810731,45.050387382507324
mps-uncap,1.0,129.75730895996108,19566.65950536728,25155.98994255066
mig,1.0,3811.8316817283635,708.653926849365,310.7037544250488
mps-uncap,1.1,185.68115234374997,26865.123150348663,32123.23123693466
mig,1.1,7882.621777057647,8076.110911369323,6812.349162101746
mps-uncap,1.2,205.20854473113994,27420.548267364502,42465.901086330414
mig,1.2,16605.166895389557,13868.98912191391,14780.456051826477
mps-uncap,1.3,317.39871501922556,32962.29548454285,50386.03204488754
mig,1.3,21012.911405563354,22271.181762218475,19371.242208480835
