mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,123.39544296264648,194.37646865844727,58.83169174194336
mig,0.6,259.66930389404297,122.47276306152344,15.136957168579102
mps-uncap,0.7,147.67050743103027,394.1531181335449,421.7350482940674
mig,0.7,480.35383224487305,205.58667182922363,26.583433151245117
mps-uncap,0.8,160.98475456237793,690.5896663665771,4060.3795051574707
mig,0.8,582.282543182373,258.4078311920166,27.1298885345459
mps-uncap,0.9,209.0475559234619,3330.756664276123,18118.45302581787
mig,0.9,1025.9120464324951,585.4978561401367,59.541940689086914
mps-uncap,1.0,176.04875564575195,19860.76545715332,25353.04856300354
mig,1.0,3905.5991172790527,785.844087600708,345.61634063720703
mps-uncap,1.1,236.90056800842285,27049.67999458313,32576.305627822876
mig,1.1,8023.602485656738,8150.223970413208,6907.050132751465
mps-uncap,1.2,287.16254234313965,27808.578729629517,42956.57801628113
mig,1.2,16740.43607711792,14013.009071350098,14949.264764785767
mps-uncap,1.3,423.9480495452881,33251.60479545593,50737.73813247681
mig,1.3,21227.44345664978,22565.983772277832,19586.156368255615
