mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,346.1042496557821,68.05064218255664,668.1534933969798
mig,0.6,348.95880832853965,70.30345711620025,669.5153881815712
mps-uncap,0.7,399.1338586849211,83.15491926013678,805.3347989615422
mig,0.7,388.7339935019317,83.21536679381279,786.7467314074188
mps-uncap,0.8,447.38042172854966,93.90536946807246,848.0067299874412
mig,0.8,451.6769672557812,90.77606883772752,896.1568449623629
mps-uncap,0.9,519.2306646824298,100.81007939817492,798.851104483115
mig,0.9,510.50305622058175,107.42979544488503,1006.64319073134
mps-uncap,1.0,578.1087946176277,92.33321107461143,807.0246806319124
mig,1.0,557.7083854438224,115.03034347526801,1111.712220803621
mps-uncap,1.1,619.5629113779098,90.83595789943416,787.5263373349485
mig,1.1,562.4267316357962,116.37858599514281,1117.7462484457526
mps-uncap,1.2,671.0374345745453,96.59974520782254,704.7626164865906
mig,1.2,565.0255362941955,117.07681057113733,1099.2398609261425
mps-uncap,1.3,747.5619014912597,95.09766861973146,652.5488153804179
mig,1.3,564.4388495240075,114.73797165168217,1120.1009309813237
