mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,154.8159122467041,218.66226196289062,60.56928634643555
mig,0.6,317.7962303161621,139.62793350219727,16.907453536987305
mps-uncap,0.7,180.65929412841797,414.1857624053955,424.3495464324951
mig,0.7,536.3643169403076,222.53179550170898,28.386592864990234
mps-uncap,0.8,193.6790943145752,714.3645286560059,4063.612461090088
mig,0.8,638.5884284973145,275.82430839538574,28.86033058166504
mps-uncap,0.9,242.05708503723145,3349.4622707366943,18122.37548828125
mig,0.9,1084.383249282837,603.0194759368896,61.3093376159668
mps-uncap,1.0,209.00893211364746,19888.5338306427,25370.45645713806
mig,1.0,3962.543487548828,802.7036190032959,347.42021560668945
mps-uncap,1.1,269.6406841278076,27074.661254882812,32598.456859588623
mig,1.1,8082.500457763672,8167.298793792725,6909.454345703125
mps-uncap,1.2,320.1577663421631,27829.886436462402,42973.093032836914
mig,1.2,16796.18239402771,14030.594825744629,14961.162805557251
mps-uncap,1.3,457.5376510620117,33270.17641067505,50759.835720062256
mig,1.3,21286.183834075928,22583.18519592285,19600.661277770996
