mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,34.7292423248291,33.76436233520508,4.3964385986328125
mig,0.6,84.33365821838379,24.97076988220215,2.6035308837890625
mps-uncap,0.7,35.22086143493652,46.387434005737305,22.780179977416992
mig,0.7,98.8004207611084,29.908299446105957,3.1290054321289062
mps-uncap,0.8,35.49027442932129,91.55631065368652,2475.377321243286
mig,0.8,129.62472438812256,38.696885108947754,4.182100296020508
mps-uncap,0.9,39.33310508728027,1045.457124710083,9650.812149047852
mig,0.9,290.9923791885376,87.31746673583984,6.773710250854492
mps-uncap,1.0,46.185970306396484,10313.641786575317,12407.624244689941
mig,1.0,977.8857231140137,277.8743505477905,113.73639106750488
mps-uncap,1.1,51.06997489929199,13916.754603385925,16047.868371009827
mig,1.1,3014.5426988601685,3398.0109691619873,3344.841957092285
mps-uncap,1.2,54.46028709411621,14328.04560661316,20956.02285861969
mig,1.2,8686.463117599487,7169.586777687073,7413.316249847412
mps-uncap,1.3,73.37594032287598,16970.335483551025,26090.12281894684
mig,1.3,9480.17930984497,11132.64012336731,9635.693550109863
