mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,28.164148330688477,17.113924026489258,1.703500747680664
mig,0.6,55.52864074707031,17.066240310668945,1.7271041870117188
mps-uncap,0.7,30.14063835144043,17.279386520385742,1.6977787017822266
mig,0.7,55.26590347290039,16.820907592773438,1.7261505126953125
mps-uncap,0.8,29.260635375976562,17.041921615600586,1.7879009246826172
mig,0.8,55.29046058654785,17.11297035217285,1.7309188842773438
mps-uncap,0.9,31.31413459777832,17.290830612182617,3.3550262451171875
mig,0.9,55.61375617980957,16.995906829833984,1.7120838165283203
mps-uncap,1.0,31.62407875061035,25.519132614135742,2.425670623779297
mig,1.0,55.65357208251953,16.8609619140625,1.7354488372802734
mps-uncap,1.1,31.841754913330078,21.286725997924805,2.595186233520508
mig,1.1,55.719614028930664,16.933202743530273,1.7609596252441406
mps-uncap,1.2,31.672000885009766,17.580270767211914,3.189563751220703
mig,1.2,55.733442306518555,17.06385612487793,1.7933845520019531
mps-uncap,1.3,31.84795379638672,20.852088928222656,3.0879974365234375
mig,1.3,55.90534210205078,21.294832229614258,1.8050670623779297
