mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,44.17920112609863,35.88056564331055,14.925479888916016
mig,0.6,69.06604766845703,25.12502670288086,8.737564086914062
mps-uncap,0.7,41.162967681884766,30.544519424438477,12.247085571289062
mig,0.7,69.16046142578125,22.89557456970215,14.105558395385742
mps-uncap,0.8,41.3060188293457,28.581619262695312,12.72892951965332
mig,0.8,67.02041625976562,21.444082260131836,8.932352066040039
mps-uncap,0.9,37.47677803039551,26.411771774291992,15.353679656982422
mig,0.9,69.17119026184082,24.428129196166992,14.108896255493164
mps-uncap,1.0,50.82130432128906,36.101579666137695,17.407894134521484
mig,1.0,69.18859481811523,26.101112365722656,10.287284851074219
mps-uncap,1.1,44.91066932678223,39.34454917907715,22.15123176574707
mig,1.1,61.90347671508789,22.557973861694336,9.557247161865234
mps-uncap,1.2,41.0611629486084,32.103538513183594,20.252466201782227
mig,1.2,68.9854621887207,21.26336097717285,13.546943664550781
mps-uncap,1.3,45.33219337463379,31.151294708251953,22.09758758544922
mig,1.3,71.40707969665527,26.05271339416504,18.05853843688965
