mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,0.013828277587890625,0.014781951904296875,0.010967254638671875
mig,0.6,0.014066696166992188,0.014781951904296875,0.011205673217773438
mps-uncap,0.7,0.01430511474609375,0.014781951904296875,0.011205673217773438
mig,0.7,0.014543533325195312,0.013828277587890625,0.010967254638671875
mps-uncap,0.8,0.015020370483398438,0.014543533325195312,0.0152587890625
mig,0.8,0.014781951904296875,0.014781951904296875,0.011205673217773438
mps-uncap,0.9,0.014781951904296875,0.015497207641601562,0.01430511474609375
mig,0.9,0.013828277587890625,0.015020370483398438,0.010967254638671875
mps-uncap,1.0,0.014066696166992188,0.03314018249511719,0.015020370483398438
mig,1.0,0.017881393432617188,0.014781951904296875,0.011444091796875
mps-uncap,1.1,0.01430511474609375,0.017881393432617188,0.013828277587890625
mig,1.1,0.017881393432617188,0.015020370483398438,0.0133514404296875
mps-uncap,1.2,0.015020370483398438,0.019073486328125,0.013589859008789062
mig,1.2,0.019550323486328125,0.015020370483398438,0.013113021850585938
mps-uncap,1.3,0.014066696166992188,0.018835067749023438,0.014066696166992188
mig,1.3,0.023365020751953125,0.040531158447265625,0.013113021850585938
