mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,28.137922286987305,17.057180404663086,1.6770362854003906
mig,0.6,55.33885955810547,17.039060592651367,1.70135498046875
mps-uncap,0.7,30.112028121948242,17.237424850463867,1.6655921936035156
mig,0.7,55.09161949157715,16.722440719604492,1.6939640045166016
mps-uncap,0.8,27.339696884155273,16.905546188354492,1.6944408416748047
mig,0.8,55.27138710021973,17.01045036315918,1.7039775848388672
mps-uncap,0.9,30.877351760864258,16.965627670288086,1.695394515991211
mig,0.9,55.27234077453613,16.87765121459961,1.6829967498779297
mps-uncap,1.0,30.12681007385254,17.014265060424805,1.7290115356445312
mig,1.0,55.11283874511719,16.76630973815918,1.695394515991211
mps-uncap,1.1,29.168367385864258,16.79253578186035,1.712799072265625
mig,1.1,55.17244338989258,16.828298568725586,1.6984939575195312
mps-uncap,1.2,31.65125846862793,17.03619956970215,1.7194747924804688
mig,1.2,55.092573165893555,16.733169555664062,1.725912094116211
mps-uncap,1.3,29.266357421875,16.822338104248047,1.7273426055908203
mig,1.3,55.31883239746094,17.0285701751709,1.68609619140625
