mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,36.947174072265625,28.922903537750248,6.638021469116205
mig,0.6,59.60044860839844,19.232110977172848,2.44399070739746
mps-uncap,0.7,36.47544860839844,24.99010562896728,7.279567718505859
mig,0.7,59.79347229003906,18.690309524536133,2.3264384269714355
mps-uncap,0.8,36.23877763748168,25.112290382385254,7.32969045639038
mig,0.8,59.20328855514526,18.77244710922241,2.2817254066467285
mps-uncap,0.9,36.19422674179077,25.299429893493652,7.512092590332031
mig,0.9,59.13623809814454,18.411707878112797,2.2564339637756343
mps-uncap,1.0,36.47395133972168,29.31548118591309,6.849269866943359
mig,1.0,59.10753250122071,18.283240795135498,2.228975296020508
mps-uncap,1.1,36.6749906539917,29.375259876251217,6.82377815246582
mig,1.1,59.07310485839844,18.38791370391846,2.224879264831543
mps-uncap,1.2,36.37579917907715,25.74405670166016,7.564408779144288
mig,1.2,59.00569438934326,18.256044387817383,2.209630012512207
mps-uncap,1.3,36.20195388793945,25.642218589782715,7.6392292976379395
mig,1.3,59.348788261413574,18.58596801757813,2.200508117675786
