mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,104.48402404785146,180.01724481582653,40.021183490753145
mig,0.6,258.604679107666,97.08444595336896,9.730167388916012
mps-uncap,0.7,118.15501928329466,304.9649000167846,275.174674987793
mig,0.7,406.5849781036377,160.58644533157334,13.232545852661135
mps-uncap,0.8,122.29313850402832,581.2417960166931,3984.294443130493
mig,0.8,483.97265434265057,185.14670848846436,17.44943857192993
mps-uncap,0.9,162.32085704803484,3251.474440097809,17949.01243209839
mig,0.9,871.0396337509155,458.1589579582224,46.78702354431152
mps-uncap,1.0,162.76117324829116,19587.341437339783,25157.80644416809
mig,1.0,3867.8164386749268,725.5696821212766,312.5023174285889
mps-uncap,1.1,219.02690887451172,26889.84696149826,32125.42734146118
mig,1.1,7941.207463741302,8093.101906776429,6814.146633148193
mps-uncap,1.2,238.33105564117412,27440.22207260132,42467.69151687622
mig,1.2,16660.919251441956,13885.945081710815,14782.247815132141
mps-uncap,1.3,350.5555033683772,32983.87035369873,50389.13989067078
mig,1.3,21068.601207733154,22288.41121196747,19373.140020370483
