mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,29.916858673095703,64.53526020050049,15.694570541381836
mig,0.6,116.80331230163576,38.800692558288596,3.9479732513427734
mps-uncap,0.7,37.61560916900652,102.94532775878906,103.16286087036131
mig,0.7,190.1376247406006,59.4616174697876,5.183935165405273
mps-uncap,0.8,42.76382923126221,366.27631187438976,3619.590568542481
mig,0.8,248.58648777008057,84.787654876709,9.028792381286621
mps-uncap,0.9,53.88610363006592,2971.784830093384,15914.843940734863
mig,0.9,591.6634798049927,227.34415531158447,22.156977653503418
mps-uncap,1.0,66.60218238830568,17820.87328433991,22879.525184631348
mig,1.0,3454.625678062439,554.7748088836671,210.71429252624512
mps-uncap,1.1,93.7598705291748,24782.849502563477,29067.1115398407
mig,1.1,7458.851671218872,7034.322738647461,6247.575521469118
mps-uncap,1.2,91.4827823638916,25304.87313270569,38427.9589176178
mig,1.2,15963.280725479128,13190.643787384033,13471.317863464355
mps-uncap,1.3,164.15250301361084,29646.15488052368,46003.825068473816
mig,1.3,19579.989242553715,19848.594188690186,17575.76560974121
