mode,load,0_resnet152-32,1_densenet169-2,2_squeezenet1_0-2
mps-uncap,0.6,32.753705978393555,17.84956455230713,1.8055438995361328
mig,0.6,57.60550498962402,17.49444007873535,1.7795562744140625
mps-uncap,0.7,32.73630142211914,17.93217658996582,1.764535903930664
mig,0.7,56.23650550842285,17.1048641204834,1.7666816711425781
mps-uncap,0.8,32.76515007019043,17.642974853515625,1.7895698547363281
mig,0.8,56.240081787109375,17.34471321105957,1.7750263214111328
mps-uncap,0.9,32.82797336578369,17.943859100341797,1.8053054809570312
mig,0.9,56.15675449371338,17.167210578918457,1.7566680908203125
mps-uncap,1.0,33.03933143615723,19.427180290222168,1.8970966339111328
mig,1.0,56.11371994018555,16.980886459350586,1.7595291137695312
mps-uncap,1.1,33.21957588195801,22.66407012939453,2.1598339080810547
mig,1.1,56.03837966918945,17.035961151123047,1.76239013671875
mps-uncap,1.2,33.039093017578125,20.36881446838379,2.3975372314453125
mig,1.2,55.9544563293457,16.95704460144043,1.7931461334228516
mps-uncap,1.3,33.112525939941406,21.27814292907715,3.086090087890625
mig,1.3,56.023359298706055,17.299652099609375,1.756906509399414
