mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.7099380493164062,12.369394302368164,3.658771514892578
mps-uncap,0.9,1.7418861389160156,14.061927795410156,3.964066505432129
mps-uncap,1.0,1.8963813781738281,14.939069747924805,4.603862762451172
mps-uncap,0.5,1.5594959259033203,11.823892593383789,4.487514495849609
mps-uncap,0.6,1.6298294067382812,11.890888214111328,3.5115480422973633
mps-uncap,0.7,1.6672611236572266,12.224197387695312,3.409862518310547
mps-uncap,0.1,1.4672279357910156,16.99519157409668,7.010459899902344
mps-uncap,0.2,1.5118122100830078,16.25525951385498,6.797909736633301
mps-uncap,0.3,1.4867782592773438,15.288591384887695,5.939006805419922
mps-uncap,0.4,1.535654067993164,13.92507553100586,4.6558380126953125
