mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,26.658296585083008,84.23423767089844,61.62309646606445
mps-uncap,0.9,39.83902931213379,114.32218551635742,65.15049934387207
mps-uncap,1.0,63.94362449645996,272.951602935791,969.5582389831543
mps-uncap,0.5,9.28354263305664,54.9166202545166,25.592327117919922
mps-uncap,0.6,13.276338577270508,60.32276153564453,22.32980728149414
mps-uncap,0.7,16.2811279296875,61.49721145629883,32.384634017944336
mps-uncap,0.1,2.295970916748047,29.335498809814453,13.330698013305664
mps-uncap,0.2,4.310369491577148,36.41510009765625,20.74885368347168
mps-uncap,0.3,5.061626434326172,31.54277801513672,21.495580673217773
mps-uncap,0.4,8.72182846069336,45.76563835144043,22.97353744506836
