mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.3818740844726562,8.737325668334961,2.7794837951660156
mps-uncap,0.9,1.3782978057861328,8.782148361206055,2.758026123046875
mps-uncap,1.0,1.4126300811767578,9.194612503051758,2.747058868408203
mps-uncap,0.5,1.3844966888427734,8.908271789550781,2.7511119842529297
mps-uncap,0.6,1.4035701751708984,8.806467056274414,2.7446746826171875
mps-uncap,0.7,1.4045238494873047,8.726835250854492,2.7396678924560547
mps-uncap,0.1,1.3854503631591797,8.884191513061523,2.803325653076172
mps-uncap,0.2,1.3973712921142578,8.959293365478516,2.7992725372314453
mps-uncap,0.3,1.3775825500488281,8.546590805053711,2.811908721923828
mps-uncap,0.4,1.3802051544189453,8.70656967163086,2.716541290283203
